layer,type,corrupted,restored,component,metric,value,config,lr,n_embd,n_layer,d_conv,mixer_type
0,KEY,query_item_orig,query_item_orig,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,query_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,query_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item_orig,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,query_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,query_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item_orig,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,target_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,target_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,target_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,target_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,query_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,query_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,query_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,query_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,target_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,target_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,target_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,target_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,divider,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,divider,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,divider,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,divider,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,divider,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,divider,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,divider,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,divider,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,divider,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+1,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+1,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,target_item_orig__+1,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,target_item_orig__+1,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+1,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+1,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,target_item_orig__+1,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,target_item_orig__+1,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+1,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+2,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+2,conv_input,restored_prob,0.00024293921887874603,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,target_item_orig__+2,conv_input,restored_prob,0.00024271570146083832,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,target_item_orig__+2,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+2,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+2,conv_input,restored_logit,-0.06380438804626465,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,query_item_orig,target_item_orig__+2,conv_input,restored_logit,-0.06418585777282715,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,query_item_orig,target_item_orig__+2,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+2,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item_orig,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,query_item,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,divider,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+1,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,target_item_orig__+2,conv_input,max_perc,1.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,query_item_orig,nothing,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item_orig,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,query_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,query_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item_orig,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,query_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,query_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item_orig,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig,conv_input,kl_div,3.91155481338501e-08,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,target_item_orig,conv_input,restored_prob,0.00024147890508174896,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,target_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig,conv_input,prob_diff,2.0265579223632812e-06,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,target_item_orig,conv_input,restored_logit,-0.06688284873962402,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,target_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig,conv_input,logit_diff,0.00463104248046875,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,query_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,query_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,query_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,query_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,target_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,target_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,target_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,target_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,divider,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,divider,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,divider,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,divider,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,divider,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,divider,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,divider,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,divider,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,divider,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+1,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+1,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,target_item_orig__+1,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,target_item_orig__+1,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+1,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+1,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,target_item_orig__+1,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,target_item_orig__+1,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+1,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+2,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+2,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,target_item_orig__+2,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,target_item_orig__+2,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+2,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+2,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
corrupted,KEY,target_item_orig,target_item_orig__+2,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
original,KEY,target_item_orig,target_item_orig__+2,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+2,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item_orig,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig,conv_input,max_perc,0.015625,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,query_item,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,divider,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+1,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,target_item_orig__+2,conv_input,max_perc,0.984375,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
0,KEY,target_item_orig,nothing,conv_input,max_perc,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,query_item_orig,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,query_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,query_item_orig,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,query_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,query_item_orig,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,target_item_orig,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,target_item_orig,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,target_item_orig,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,target_item_orig,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,target_item_orig,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,query_item,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,query_item,conv_input,restored_prob,0.0002424921840429306,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,query_item,conv_input,prob_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,query_item,conv_input,restored_logit,-0.06456732749938965,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,query_item,conv_input,logit_diff,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
1,KEY,query_item_orig,target_item,conv_input,kl_div,0.0,ar_32_mamba_ablation/mamba_1___128___1e-02,0.01,128,2,1,mamba_no_causal_conv1d
